index,v0,v1,v2,v3
0,-1371,-1176,-132,70
1,-185,0,0,71
2,-185,0,0,71
3,72,0,0,71
4,-184,0,0,71
5,-256,0,0,0
6,0,0,0,71
7,-184,0,0,71
8,-256,0,0,0
9,72,0,0,71
10,-256,0,0,0
11,0,0,0,71
12,-184,0,0,71
13,-183,0,0,71
14,-183,0,0,71
15,-256,0,0,0
16,0,0,0,71
17,-183,0,0,70
18,-183,0,0,70
19,-183,0,0,0
20,0,0,0,0
21,73,0,0,70
22,-183,0,0,70
23,-183,0,0,70
24,-182,0,0,70
25,-182,0,0,0
26,75,0,0,70
27,-181,0,0,70
28,-256,0,0,0
29,0,0,0,70
30,-181,0,0,70
31,-256,0,0,0
32,0,0,0,70
33,-180,0,0,70
34,-179,0,0,70
35,-179,0,0,70
36,-256,0,0,0
37,78,0,0,70
38,-177,0,0,70
39,-177,0,0,70
40,-256,0,0,0
41,0,0,0,70
42,-176,0,0,70
43,-175,0,0,71
44,-174,0,0,71
45,-174,0,0,0
46,83,0,0,71
47,-172,0,0,71
48,-172,0,0,72
49,-171,0,0,72
50,-171,0,0,0
51,0,0,0,0
52,85,0,0,71
53,-170,0,0,71
54,-170,0,0,71
55,-169,0,0,70
56,-169,0,0,69
57,-169,0,0,69
58,-167,0,0,69
59,-167,0,0,69
60,-256,0,0,0
61,91,0,0,69
62,-164,0,0,69
63,-163,0,0,69
64,-162,0,0,69
65,-162,0,0,68
66,-161,0,0,68
67,-161,0,0,0
68,96,0,0,68
69,-160,0,0,68
70,-256,0,0,0
71,97,0,0,69
72,-159,0,0,69
73,-256,0,0,0
74,0,0,0,69
75,-159,0,0,69
76,-159,0,0,70
77,-158,0,0,70
78,-158,0,0,71
79,-157,0,0,71
80,-157,0,0,71
81,-256,0,0,72
82,-157,0,0,72
83,-156,0,0,73
84,-156,0,0,73
85,101,0,0,73
86,-155,0,0,73
87,-154,0,0,74
88,-153,0,0,76
89,-152,0,0,76
90,-151,0,0,77
91,-151,0,0,77
92,-256,0,0,78
93,-150,0,0,79
94,-150,0,0,80
95,-148,0,0,80
96,-147,0,0,80
97,-146,0,0,80
98,-144,0,0,80
99,-144,0,0,80
100,-143,0,0,82
101,-142,0,0,82
102,-141,0,0,82
103,-140,0,0,82
104,-139,0,0,83
105,-137,0,0,83
106,-136,0,0,83
107,-136,0,0,0
108,121,0,0,84
109,-134,0,0,85
110,-134,0,0,85
111,124,0,0,86
112,-130,0,0,86
113,-129,0,0,86
114,-129,0,0,86
115,-128,0,0,86
116,-127,0,0,87
117,-127,0,0,87
118,-126,0,0,87
119,-125,0,0,87
120,-125,0,0,0
121,0,0,0,87
122,-123,0,0,89
123,-122,0,0,89
124,-121,0,0,89
125,-121,0,0,90
126,-121,0,0,90
127,-120,0,0,90
128,-119,0,0,90
129,-119,0,0,0
130,138,0,0,90
131,-118,0,0,90
132,-117,0,0,90
133,-117,0,0,90
134,-116,0,0,90
135,-115,0,0,91
136,-115,0,0,91
137,-114,0,0,91
138,-114,0,0,91
139,-113,0,0,91
140,-113,0,0,91
141,-113,0,0,0
142,0,0,0,91
143,-112,0,0,92
144,-112,0,0,92
145,145,0,0,93
146,-111,0,0,93
147,-256,0,0,0
148,146,0,0,93
149,-109,0,0,95
150,-109,0,0,95
151,-256,0,0,0
152,148,0,0,95
153,-107,0,0,95
154,-107,0,0,0
155,0,0,0,96
156,-107,0,0,96
157,-106,0,0,96
158,-105,0,0,96
159,-104,0,0,96
160,-104,0,0,96
161,-256,0,0,0
162,0,0,0,96
163,-102,0,0,96
164,-102,0,0,0
165,0,0,0,0
166,154,0,0,96
167,-102,0,0,0
168,0,0,0,96
169,-102,0,0,96
170,-102,0,0,0
171,0,0,0,96
172,-102,0,0,96
173,-102,0,0,96
174,-102,0,0,96
175,-102,0,0,0
176,-102,0,0,96
177,-102,0,0,97
178,-102,0,0,97
179,-102,0,0,98
180,-102,0,0,99
181,-102,0,0,100
182,-102,0,0,100
183,0,0,0,0
184,0,0,0,101
185,-102,0,0,101
186,-102,0,0,102
187,-102,0,0,102
188,-102,0,0,103
189,-101,0,0,103
190,-101,0,0,0
191,0,0,0,104
192,-101,0,0,104
193,-101,0,0,0
194,0,0,0,0
195,155,0,0,104
196,-100,0,0,104
197,-100,0,0,0
198,0,0,0,0
199,156,0,0,104
200,-99,0,0,104
201,-99,0,0,104
202,-98,0,0,104
203,-98,0,0,104
204,-97,0,0,104
205,-97,0,0,104
206,-256,0,0,0
207,160,0,0,104
208,-95,0,0,104
209,-95,0,0,0
210,162,0,0,104
211,-93,0,0,104
212,-92,0,0,104
213,-91,0,0,104
214,-90,0,0,104
215,-90,0,0,104
216,-88,0,0,104
217,-87,0,0,105
218,-86,0,0,105
219,-85,0,0,105
220,-85,0,0,0
221,172,0,0,105
222,-83,0,0,107
223,-82,0,0,107
224,-82,0,0,108
225,-82,0,0,109
226,-82,0,0,111
227,-82,0,0,112
228,-82,0,0,113
229,-82,0,0,114
230,-82,0,0,115
231,-82,0,0,115
232,0,0,0,0
233,0,0,0,115
234,-82,0,0,115
235,0,0,0,116
236,-82,0,0,116
237,-82,0,0,0
238,0,0,0,0
239,174,0,0,116
240,-82,0,0,0
241,0,0,0,0
242,175,0,0,116
243,-81,0,0,115
244,-81,0,0,115
245,0,0,0,0
246,0,0,0,115
247,-81,0,0,115
248,176,0,0,115
249,-80,0,0,115
250,-256,0,0,0
251,177,0,0,115
252,-79,0,0,115
253,-256,0,0,0
254,0,0,0,115
255,-79,0,0,117
256,-79,0,0,117
257,0,0,0,0
258,0,0,0,117
259,-78,0,0,116
260,-78,0,0,116
261,-77,0,0,116
262,-77,0,0,116
263,-256,0,0,0
264,180,0,0,116
265,-76,0,0,116
266,-256,0,0,0
267,0,0,0,116
268,-75,0,0,116
269,-75,0,0,116
270,-256,0,0,0
271,182,0,0,116
272,-74,0,0,116
273,-73,0,0,116
274,-72,0,0,116
275,-72,0,0,116
276,-71,0,0,116
277,-71,0,0,116
278,-70,0,0,116
279,-70,0,0,116
280,-256,0,0,0
281,0,0,0,116
282,-70,0,0,116
283,-70,0,0,116
284,-256,0,0,116
285,-70,0,0,117
286,-70,0,0,117
287,-70,0,0,0
288,0,0,0,0
289,186,0,0,117
290,-70,0,0,0
291,0,0,0,117
292,-70,0,0,117
293,-70,0,0,0
294,186,0,0,117
295,-70,0,0,0
296,0,0,0,117
297,-70,0,0,117
298,-70,0,0,117
299,-69,0,0,117
300,-69,0,0,117
301,0,0,0,0
302,0,0,0,117
303,-69,0,0,117
304,-69,0,0,117
305,0,0,0,117
306,-69,0,0,117
307,-70,0,0,117
308,-71,0,0,117
309,-71,0,0,117
310,-256,0,0,0
311,0,0,0,118
312,-71,0,0,118
313,-71,0,0,0
314,184,0,0,118
315,-72,0,0,118
316,-256,0,0,0
317,0,0,0,118
318,-73,0,0,118
319,-73,0,0,118
320,-256,0,0,0
321,0,0,0,118
322,-73,0,0,118
323,-73,0,0,118
324,-73,0,0,118
325,-256,0,0,0
326,182,0,0,118
327,-74,0,0,117
328,-74,0,0,117
329,181,0,0,117
330,-75,0,0,117
331,-75,0,0,0
332,0,0,0,0
333,181,0,0,117
334,-75,0,0,117
335,-76,0,0,117
336,-76,0,0,117
337,-76,0,0,0
338,179,0,0,117
