index,v0,v1,v2,v3
0,-674,-495,197,342
1,-83,0,0,166
2,-83,0,0,166
3,0,0,0,0
4,0,0,0,166
5,-83,0,0,165
6,-83,0,0,165
7,-82,0,0,165
8,-82,0,0,0
9,175,0,0,165
10,-80,0,0,165
11,-80,0,0,0
12,177,0,0,165
13,-78,0,0,165
14,-77,0,0,165
15,-76,0,0,165
16,-76,0,0,165
17,-256,0,0,0
18,0,0,0,165
19,-76,0,0,165
20,-256,0,0,0
21,0,0,0,165
22,-76,0,0,165
23,-75,0,0,165
24,-75,0,0,165
25,-256,0,0,0
26,0,0,0,165
27,-75,0,0,165
28,-256,0,0,167
29,-74,0,0,167
30,-74,0,0,0
31,0,0,0,168
32,-74,0,0,168
33,-74,0,0,0
34,0,0,0,0
35,182,0,0,168
36,-74,0,0,168
37,-74,0,0,0
38,182,0,0,168
39,-74,0,0,168
40,-74,0,0,168
41,-74,0,0,168
42,-74,0,0,0
43,182,0,0,168
44,-74,0,0,168
45,-74,0,0,168
46,-74,0,0,168
47,-74,0,0,168
48,-74,0,0,168
49,-74,0,0,0
50,181,0,0,168
51,-75,0,0,168
52,-256,0,0,0
53,0,0,0,168
54,-75,0,0,168
55,-256,0,0,0
56,0,0,0,168
57,-75,0,0,168
58,-256,0,0,168
59,-74,0,0,168
60,-74,0,0,168
61,-74,0,0,168
62,-74,0,0,0
63,182,0,0,168
64,-74,0,0,168
65,-74,0,0,168
66,-74,0,0,168
67,-74,0,0,168
68,-74,0,0,168
69,-74,0,0,168
70,-74,0,0,168
71,-74,0,0,0
72,182,0,0,168
73,-74,0,0,168
74,-74,0,0,168
75,-74,0,0,168
76,-74,0,0,168
77,-74,0,0,168
78,-74,0,0,168
79,-74,0,0,167
80,-74,0,0,167
81,-74,0,0,0
82,182,0,0,167
83,-74,0,0,166
84,-74,0,0,166
85,-74,0,0,0
86,0,0,0,0
87,182,0,0,165
88,-74,0,0,165
89,-74,0,0,0
90,0,0,0,0
91,182,0,0,165
92,-74,0,0,165
93,-74,0,0,165
94,-74,0,0,165
95,-74,0,0,164
96,-74,0,0,164
97,-75,0,0,164
98,-75,0,0,0
99,0,0,0,163
100,-75,0,0,163
101,-76,0,0,162
102,-76,0,0,162
103,0,0,0,0
104,0,0,0,162
105,-76,0,0,161
106,-76,0,0,161
107,-76,0,0,160
108,-76,0,0,160
109,-76,0,0,0
110,0,0,0,0
111,180,0,0,160
112,-76,0,0,160
113,-76,0,0,0
114,180,0,0,160
115,-76,0,0,160
116,-76,0,0,160
117,-76,0,0,160
118,-76,0,0,0
119,180,0,0,160
120,-75,0,0,160
121,-76,0,0,160
122,-76,0,0,0
123,180,0,0,160
124,-77,0,0,160
125,-77,0,0,160
126,-256,0,0,0
127,0,0,0,160
128,-77,0,0,160
129,-77,0,0,160
130,-78,0,0,160
131,-78,0,0,160
132,-78,0,0,0
133,0,0,0,0
134,178,0,0,160
135,-79,0,0,160
136,-79,0,0,160
137,-256,0,0,0
138,176,0,0,160
139,-80,0,0,160
140,-256,0,0,0
141,0,0,0,160
142,-80,0,0,160
143,-80,0,0,160
144,-256,0,0,160
145,-80,0,0,160
146,-80,0,0,160
147,-80,0,0,160
148,-256,0,0,0
149,175,0,0,160
150,-81,0,0,160
151,-256,0,0,0
152,0,0,0,160
153,-81,0,0,160
154,-81,0,0,160
155,-256,0,0,160
156,-81,0,0,160
157,-81,0,0,160
158,-81,0,0,160
159,-81,0,0,160
160,-256,0,0,160
161,-81,0,0,160
162,-81,0,0,160
163,-80,0,0,160
164,-256,0,0,160
165,-80,0,0,160
166,-256,0,0,0
167,176,0,0,160
168,-80,0,0,160
169,-256,0,0,160
170,-80,0,0,160
171,-80,0,0,160
172,-80,0,0,160
173,-256,0,0,160
174,-80,0,0,160
175,-256,0,0,0
176,176,0,0,160
177,-80,0,0,160
178,-256,0,0,160
179,-80,0,0,160
180,-80,0,0,160
181,-80,0,0,160
182,-256,0,0,160
183,-80,0,0,160
184,-256,0,0,159
185,-80,0,0,159
186,-80,0,0,0
187,0,0,0,0
188,176,0,0,159
189,-80,0,0,0
190,0,0,0,0
191,176,0,0,159
192,-80,0,0,0
193,0,0,0,159
194,-80,0,0,0
195,0,0,0,0
196,176,0,0,159
197,-80,0,0,0
198,0,0,0,159
199,-80,0,0,0
200,0,0,0,159
201,-80,0,0,0
202,0,0,0,0
203,176,0,0,159
204,-80,0,0,0
205,0,0,0,159
206,-80,0,0,0
207,0,0,0,159
208,-80,0,0,0
209,0,0,0,159
210,-80,0,0,0
211,0,0,0,0
212,176,0,0,159
213,-80,0,0,0
214,0,0,0,159
215,-80,0,0,0
216,0,0,0,159
217,-80,0,0,0
218,0,0,0,159
219,-80,0,0,0
220,0,0,0,0
221,176,0,0,159
222,-80,0,0,0
223,0,0,0,159
224,-80,0,0,0
225,0,0,0,159
226,-80,0,0,0
227,0,0,0,159
228,-80,0,0,0
229,0,0,0,0
230,176,0,0,159
231,-80,0,0,0
232,0,0,0,159
233,-80,0,0,0
234,0,0,0,159
235,-80,0,0,0
236,0,0,0,159
237,-80,0,0,0
238,0,0,0,0
239,176,0,0,159
240,-80,0,0,0
